Index,Raw #,#,Set,Name,Team,Pts.,Yr.,OB/C,Spd/IP,Pos,H,Icon,PU,SO,GB,FB,W,S,S+,DB,TR,HR
'01 266 1st,266,266,1st,Dustin Hermanson,Expos,220,'01,2,6,Starter,R,,1-3,4-5,6-12,13-16,17-,18-19,-,20-,-,-
'02 89-2 UL,89,89-2,UL,Eddie Guardado,Twins,220,'02,4,1,Reliever,L,,1-4,5-10,11-13,14-18,19-,20-25,-,-,-,26+
'04 51-3 UL,51,51-3,UL,Ellis Burks,Red Sox,220,'04,10,9,DH,R,,-,1-2,3-4,5-,6-10,11-16,-,17-19,-,20+
'01 131-2 1st,131,131-2,1st,Eric Davis,Giants,220,'01,9,B,LF-RF+1,R,,-,1-2,3-4,-,5-10,11-18,-,19-,-,20+
'02 195 UL,195,195,UL,Eric Milton,Twins,220,'02,1,6,Starter,L,,1-6,7-10,11-13,14-19,-,-,-,20-,-,21+
'02 1-3 UL,1,1-3,UL,Garret Anderson,Angels,220,'02,9,15,LF-RF+2,L,,-,1-,2-4,5-6,-,7-14,15-,16-17,-,18+
'02 183 UL,183,183,UL,Geoff Jenkins,Brewers,220,'02,10,14,LF-RF+2,L,,-,1-6,-,7-,8-10,11-15,-,16-17,-,18+
'00 54-2 1st,54,54-2,1st,Hideo Nomo,Tigers,220,'00,3,7,Starter,R,,7-8,1-6,9-11,12-16,17-,18-,-,19-,-,20+
'00 81-1 1st,81,81-1,1st,Jacque Jones,Twins,220,'00,7,B,"CF+2, LF-RF+1",L,,-,1-,2-3,4-,5-,6-12,13-,14-17,18-,19-20
'01 282 1st,282,282,1st,Jay Payton,Mets,220,'01,8,B,"CF+2, LF-RF+1",R,,-,-,1-3,4-5,6-7,8-16,-,17-18,-,19-20
'02 42-2 UL,42,42-2,UL,Jeff Conine,Orioles,220,'02,12,15,"LF-RF+2, 1B+0",R,,-,1-,2-4,5-7,8-11,12-18,-,19-,-,20+
'01 50 1st,50,50,1st,Jeff Conine,Orioles,220,'01,8,B,"3B+2, LF-RF+1",R,,-,-,1-2,3-5,6-8,9-16,-,17-18,-,19-20
'01 83-2 1st,83,83-2,1st,Jeff Nelson,Mariners,220,'01,6,1,Reliever,R,,-,3-8,9-12,13-15,16-18,19-,-,20-,-,-
'02 11-2 UL,11,11-2,UL,Jeromy Burnitz,Mets,220,'02,10,13,LF-RF+1,L,,-,1-4,5-,6-,7-12,13-15,-,16-17,-,18+
'02 179 UL,179,179,UL,Jeromy Burnitz,Brewers,220,'02,10,13,LF-RF+1,L,,-,1-4,5-,6-,7-12,13-15,-,16-17,-,18+
'03 43-1 UL,43,43-1,UL,Jerry Hairston,Orioles,220,'03,9,16,2B+3,R,,-,1-,2-3,4-5,6-8,9-15,16-,17-19,-,20+
'05 11 P,11,11,P,Jimmy Gobble,Royals,220,'05,3,6,Starter,L,,1-5,6-7,8-14,15-16,17-,18-19,-,20-23,-,24+
'02 43 ASG,43,43,ASG,Jimmy Rollins,Phillies,220,'02,9,23,SS+2,S,,-,1-3,4-5,6-7,8-9,10-15,16-17,18-19,20-21,22+
'04 12 P,12,12,P,Jimmy Rollins,Phillies,220,'04,9,16,SS+2,S,,-,1-,2-3,4-5,6-9,10-15,16-,17-18,19-,20+
'04 260 UL,260,260,UL,Jimmy Rollins,Phillies,220,'04,9,16,SS+2,S,,-,1-,2-3,4-5,6-9,10-15,16-,17-18,19-,20+
'02 326 UL,326,326,UL,Joe Kennedy,Devil Rays,220,'02,1,6,Starter,R,,1-4,5-8,9-13,14-19,-,-,-,20-,-,21+
'03 108-1 UL,108,108-1,UL,Johan Santana,Twins,220,'03,3,2,Reliever,L,R,1-2,3-8,9-13,14-17,18-,19-22,-,23-24,-,25+
'05 31-1 UL,31,31-1,UL,John Smoltz,Braves,220,'05,5,1,Closer,R,,1-3,4-9,10-15,16-17,18-,19-22,-,23-24,-,25+
'00 77-2 1st,77,77-2,1st,Jose Hernandez,Brewers,220,'00,7,B,3B+3,R,,-,1-3,4-,-,5-8,9-15,16-,17-,-,18-20
'00 34-2 1st,34,34-2,1st,Jose Valentin,White Sox,220,'00,7,B,SS+1,S,,-,1-,-,2-4,5-13,14-15,-,16-17,-,18-20
'02 49-3 UL,49,49-3,UL,Josh Towers,Orioles,220,'02,4,7,Starter,R,,1-4,5-6,7-11,12-16,-,17-19,-,20-,-,21+
'00 162 1st,162,162,1st,Juan Encarnacion,Tigers,220,'00,6,A,LF-RF+2,R,,-,1-2,3-4,5-,-,6-7,8-11,12-15,16-,17-20
'02 72-1 UL,72,72-1,UL,Julian Tavarez,Cubs,220,'02,4,6,Starter,R,,1-2,3-5,6-13,14-15,16-17,18-19,-,20-25,-,26+
'04 27-3 UL,27,27-3,UL,Kevin Mench,Rangers,220,'04,10,10,LF-RF+0,R,,-,1-,2-4,5-6,7-9,10-16,-,17-19,-,20+
'01 365 1st,365,365,1st,Kevin Walker,Padres,220,'01,5,1,Reliever,L,,1-2,3-6,7-12,13-15,16-18,19-20,-,-,-,-
'00 142-2 1st,142,142-2,1st,Kurt Abbott,Rockies,220,'00,7,B,2B+4,R,,-,1-3,4-,5-,-,6-14,-,15-17,18-,19-20
'04 52-3 UL,52,52-3,UL,LaTroy Hawkins,Cubs,220,'04,5,1,Reliever,R,,1-4,5-9,10-14,15-16,17-,18-22,-,23-25,-,26+
'05 62-2 UL,62,62-2,UL,LaTroy Hawkins,Cubs,220,'05,5,1,Closer,R,,1-3,4-8,9-14,15-17,18-,19-21,-,22-23,-,24+
'03 17 P,17,17,P,Lenny Harris,Brewers,220,'03,11,13,"LF-RF+2, 3B+1",L,,-,1-,2-4,5-,6-8,9-17,-,18-19,-,20+
'03 129-2 UL,129,129-2,UL,Luis Castillo,Marlins,220,'03,11,24,2B+1,S,SB,-,1-,2-5,6-,7-9,10-16,17-19,20-,-,21+
'04 234 UL,234,234,UL,Mariano Rivera,Yankees,220,'04,5,1,Closer,R,,1-2,3-7,8-15,16-,17-,18-23,-,24-26,-,27+
'02 103-1 UL,103,103-1,UL,Marty Cordova,Indians,220,'02,11,12,LF-RF+2,R,,-,1-3,4-6,7-,8-9,10-16,-,17-18,-,19+
'02 13-2 UL,13,13-2,UL,Marty Cordova,Orioles,220,'02,11,12,LF-RF+2,R,,-,1-3,4-5,6-7,8-9,10-16,-,17-18,-,19+
'02 282 UL,282,282,UL,Marvin Benard,Giants,220,'02,9,18,OF+1,L,,-,1-,2-4,5-6,7-9,10-15,16-,17-18,-,19+
'00 254 1st,254,254,1st,Matt Lawton,Twins,220,'00,8,A,LF-RF+1,L,,-,-,1-4,5-,6-11,12-16,17-18,19-,-,20+
'01 56-1 1st,56,56-1,1st,Melvin Mora,Orioles,220,'01,8,A,SS+2,R,,-,1-2,3-,4-5,6-8,9-15,16-,17-18,19-,20+
'01 56 P,56,56,P,Melvin Mora,Orioles,220,'01,8,A,SS+2,R,,-,1-2,3-,4-5,6-8,9-15,16-,17-18,19-,20+
'03 20 P,20,20,P,Michael Tejera,Marlins,220,'03,2,5,Starter,L,,1-,2-5,6-11,12-16,17-,18-19,-,20-24,-,25+
'00 325 1st,325,325,1st,Miguel Tejada,Athletics,220,'00,7,B,SS+2,R,,-,-,1-3,4-5,6-10,11-13,14-,15-16,17-,18-20
'01 278 1st,278,278,1st,Mike Bordick,Mets,220,'01,8,B,SS+2,R,,-,1-,2-,3-5,6-8,9-15,16-,17-18,-,19-20
'05 148-2 UL,148,148-2,UL,Mike Lamb,Astros,220,'05,10,9,3B+2,L,,,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
'03 241 UL,241,241,UL,Mike Williams,Pirates,220,'03,5,1,Closer,R,,1-3,4-7,8-14,15-16,17-,18-19,-,20-23,-,24+
'01 161-1 1st,161,161-1,1st,Olmedo Saenz,Athletics,220,'01,9,C,DH,R,,-,1-2,3-4,-,5-10,11-16,-,17-18,-,19-20
'04 53-3 UL,53,53-3,UL,Pat Hentgen,Blue Jays,220,'04,3,6,Starter,R,,1-3,4-6,7-13,14-16,17-18,19-,-,20-24,-,25+
'00 143-2 1st,143,143-2,1st,Pedro Astacio,Rockies,220,'00,4,7,Starter,R,,6-7,1-5,8-11,12-15,16-,17-18,-,19-,-,20+
'01 411 1st,411,411,1st,Placido Polanco,Cardinals,220,'01,8,B,"2B+4, SS+3",R,,-,-,1-4,5-,-,6-17,-,18-,19-,20+
'03 137 UL,137,137,UL,Preston Wilson,Marlins,220,'03,9,16,CF+0,R,,-,1-2,3-4,5-,6-10,11-15,16-,17-18,-,19+
'03 21-1 UL,21,21-1,UL,Quinton McCracken,Diamondbacks,220,'03,11,11,OF+1,S,,-,1-2,3-4,5-6,7-9,10-16,-,17-19,20-,21+
'04 306 UL,306,306,UL,Randy Winn,Mariners,220,'04,10,18,LF-RF+1,S,,-,1-,2-4,5-6,7-9,10-16,17-,18-19,-,20+
'04 164 UL,164,164,UL,Raul Ibanez,Royals,220,'04,10,12,LF-RF+1,L,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
'05 314 UL,314,314,UL,Reggie Sanders,Cardinals,220,'05,9,18,LF-RF+0,R,,,1-2,3-4,5-6,7-9,10-14,15-,16-18,-,19+
'00 49-1 1st,49,49-1,1st,Rich Amaral,Orioles,220,'00,8,A,OF+1,R,,-,1-,2-5,-,6-9,10-15,16-17,18-19,20-,-
'01 67-2 1st,67,67-2,1st,Rich Garces,Red Sox,220,'01,4,1,Reliever,R,,1-3,4-8,9-13,14-17,-,18-19,-,20-,-,-
'02 273 UL,273,273,UL,Rickey Henderson,Padres,220,'02,11,20,LF-RF+0,R,,-,1-2,3-4,5-6,7-14,15-17,18-,19-,-,20+
'03 119-2 UL,119,119-2,UL,Robert Fick,Tigers,220,'03,9,8,LF-RF+2,L,,-,1-,2-3,4-5,6-8,9-16,-,17-19,-,20+
'01 287 1st,287,287,1st,Robin Ventura,Mets,220,'01,7,B,3B+3,L,,-,1-,2-,3-,4-10,11-14,-,15-16,-,17-20
'01 287 P,287,287,P,Robin Ventura,Mets,220,'01,7,B,3B+3,L,,-,1-,2-,3-,4-10,11-14,-,15-16,-,17-20
'01 43-2 1st,43,43-2,1st,Rod Beck,Red Sox,220,'01,6,1,Reliever,R,,1-3,4-7,8-12,13-15,16-,17-19,-,20-,-,-
'04 87-1 UL,87,87-1,UL,Rondell White,Tigers,220,'04,10,12,LF-RF+1,R,,-,1-,2-4,5-7,8-9,10-16,-,17-18,-,19+
'03 62-2 UL,62,62-2,UL,Royce Clayton,Brewers,220,'03,9,14,SS+3,R,,-,1-,2-4,5-,6-8,9-17,-,18-19,20-,21+
'01 106 1st,106,106,1st,Ruben Mateo,Rangers,220,'01,7,A,"CF+2, LF-RF+2",R,,-,1-3,4-5,-,6-,7-13,14-,15-17,-,18-20
'04 163 UL,163,163,UL,Runelvys Hernandez,Royals,220,'04,3,6,Starter,R,,1-3,4-6,7-13,14-16,17-,18-19,-,20-24,-,25+
'00 389 1st,389,389,1st,Russ Davis,Mariners,220,'00,6,B,3B+0,R,,-,1-,-,2-3,4-6,7-13,-,14-,-,15-20
'00 176 1st,176,176,1st,Ryan Dempster,Marlins,220,'00,4,6,Starter,R,,6-7,1-5,8-11,12-14,15-17,18-19,-,20-,-,-
'00 239 1st,239,239,1st,Scott Karl,Brewers,220,'00,3,6,Starter,L,,3-4,1-2,5-11,12-15,16-,17-19,-,20-,-,-
'03 33-2 UL,33,33-2,UL,Scott Schoeneweis,Angels,220,'03,4,2,Reliever,L,,1-,2-5,6-14,15-16,17-,18-19,-,20-23,-,24+
'02 11-1 UL,11,11-1,UL,Scott Spiezio,Angels,220,'02,10,15,1B+1,S,,-,1-,2-3,4-7,8-9,10-15,-,16-18,19-,20+
'01 31-2 1st,31,31-2,1st,Scott Strickland,Expos,220,'01,5,1,Reliever,R,,1-2,3-8,9-13,14-16,17-,18-19,-,20-,-,-
'02 89-3 UL,89,89-3,UL,Sean Casey,Reds,220,'02,11,12,1B+0,L,,-,-,1-5,6-,7-8,9-16,-,17-19,-,20+
'03 58-1 UL,58,58-1,UL,Ted Lilly,Athletics,220,'03,4,6,Starter,L,,1-5,6-9,10-14,15-16,17-,18-19,-,20-25,-,26+
'00 259 1st,259,259,1st,Terry Steinbach,Twins,220,'00,8,B,C+4,R,,-,-,1-3,4-,5-8,9-17,-,18-,19-,20+
'00 80-1 1st,80,80-1,1st,Tim Wakefield,Red Sox,220,'00,4,2,Reliever,R,,5-6,1-4,7-10,11-15,16-17,18-19,-,20-,-,-
'03 198 UL,198,198,UL,Timo Perez,Mets,220,'03,10,12,OF+1,L,,-,1-,2-4,5-6,7-8,9-16,-,17-19,20-,21+
'04 55-3 UL,55,55-3,UL,Todd Walker,Cubs,220,'04,9,11,2B+2,L,,-,1-,2-3,4-5,6-8,9-16,-,17-19,-,20+
'00 261 1st,261,261,1st,Todd Walker,Twins,220,'00,7,A,2B+1,L,,-,-,1-2,3-,4-6,7-12,13-14,15-18,19-,20+
'03 59-2 UL,59,59-2,UL,Tom Wilson,Blue Jays,220,'03,11,10,C+2,R,R,-,1-3,4-5,6-7,8-11,12-16,-,17-19,-,20+
'00 11-1 1st,11,11-1,1st,Tony Womack,Diamondbacks,220,'00,7,A,SS+3,L,,-,-,1-2,3-,4-6,7-12,13-17,18-,19-,20+
'03 57-2 UL,57,57-2,UL,Travis Lee,Devil Rays,220,'03,10,10,1B+1,L,,-,1-2,3-4,5-6,7-10,11-16,-,17-19,-,20+
'00 419 1st,419,419,1st,Wade Boggs,Devil Rays,220,'00,9,C,3B+1,L,,-,-,1-4,5-,6-9,10-18,-,19-,-,20+
'01 21-2 1st,21,21-2,1st,Wade Miller,Astros,220,'01,1,7,Starter,R,,1-2,3-7,8-14,15-17,18-,19-,-,20-,-,-
'04 188 UL,188,188,UL,Wes Helms,Brewers,220,'04,9,8,3B+1,R,,-,1-,2-3,4-5,6-9,10-16,-,17-18,-,19+
'00 344 1st,344,344,1st,Adrian Brown,Pirates,210,'00,8,B,OF+0,S,,-,1-,2-4,-,5-10,11-17,18-,-,19-,20+
'01 7-2 1st,7,7-2,1st,Al Levine,Angels,210,'01,4,2,Reliever,R,,1-2,3-4,5-11,12-15,16-17,18-19,-,20-,-,-
'01 391 1st,391,391,1st,Al Martin,Mariners,210,'01,8,B,LF-RF+1,L,,-,1-,2-5,-,6-7,8-15,16-,-,17-18,19-20
'03 194 UL,194,194,UL,Armando Benitez,Mets,210,'03,5,1,Closer,R,,1-2,3-8,9-12,13-16,17-,18-19,-,20-,-,21+
'03 52-2 UL,52,52-2,UL,B.J. Ryan,Orioles,210,'03,4,1,Reliever,L,,1-,2-8,9-15,16-,17-18,19-22,-,23-25,-,26+
'05 20-2 UL,20,20-2,UL,B.J. Surhoff,Orioles,210,'05,11,10,LF-RF+1,L,,,1-,2-3,4-6,7-9,10-18,-,19-,-,20+
'02 66-2 UL,66,66-2,UL,B.J. Surhoff,Braves,210,'02,9,15,LF-RF+0,L,,-,1-,2-3,4-6,7-8,9-14,15-,16-19,-,20+
'03 59-3 UL,59,59-3,UL,Ben Weber,Angels,210,'03,4,1,Reliever,R,,-,1-3,4-13,14-15,16-,17-20,-,21-,-,22+
'02 44 ASG,44,44,ASG,Benito Santiago,Giants,210,'02,9,15,C+6,R,,-,1-,2-4,5-,6-,7-16,-,17-19,20-23,24+
'01 198 1st,198,198,1st,Bill Spiers,Astros,210,'01,9,B,"2B-SS+3, 3B+2",L,,-,-,1-4,5-,6-10,11-18,19-,20-,-,-
'01 259 1st,259,259,1st,Bob Wells,Twins,210,'01,6,1,Reliever,R,,1-3,4-8,9-10,11-15,16-,17-19,-,20-,-,-
'02 41-2 UL,41,41-2,UL,Bob Wickman,Indians,210,'02,4,1,Closer,R,,1-2,3-8,9-15,16-17,-,18-27,-,-,-,28+
'03 120-2 UL,120,120-2,UL,Bobby Higginson,Tigers,210,'03,10,13,LF-RF+2,L,,-,1-,2-3,4-6,7-9,10-15,16-17,18-19,-,20+
'00 164 1st,164,164,1st,Bobby Higginson,Tigers,210,'00,8,B,LF-RF+1,L,,-,1-,2-,3-5,6-13,14-17,-,18-,-,19-20
'01 156-1 1st,156,156-1,1st,Brad Ausmus,Tigers,210,'01,8,B,C+9,R,,-,-,1-2,3-,4-9,10-16,17-,18-19,-,20+
'02 90-2 UL,90,90-2,UL,Brady Clark,Reds,210,'02,11,13,LF-RF+1,R,,-,-,1-3,4-6,7-12,13-17,18-,-,-,19+
'03 248 UL,248,248,UL,Brian Lawrence,Padres,210,'03,3,6,Starter,R,,1-,2-4,5-12,13-15,16-,17-19,-,20-24,-,25+
'02 297 UL,297,297,UL,Carlos Guillen,Mariners,210,'02,10,17,SS+4,S,,-,1-2,3-4,5-6,7-11,12-18,-,19-,20-24,25+
'05 118-1 UL,118,118-1,UL,Carlos Pena,Tigers,210,'05,10,12,1B+0,L,,,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'02 20-2 UL,20,20-2,UL,Cesar Izturis,Dodgers,210,'02,8,19,"2B+5, SS+2",S,,-,-,1-5,-,-,6-16,17-,18-19,20-25,26+
'00 109-2 1st,109,109-2,1st,Chad Hermansen,Pirates,210,'00,5,A,OF+2,R,,-,1-,2-,-,3-,4-7,8-10,11-13,-,14-20
'01 194 1st,194,194,1st,Chris Holt,Astros,210,'01,1,6,Starter,R,,1-2,3-5,6-13,14-17,-,18-19,-,20-,-,-
'00 277 1st,277,277,1st,Chris Widger,Expos,210,'00,7,C,C+4,R,,-,1-2,3-,4-,5-7,8-14,-,15-17,-,18-20
'02 15-2 UL,15,15-2,UL,Craig Counsell,Diamondbacks,210,'02,11,16,"2B+5, SS+3",L,,-,1-2,3-6,7-,8-12,13-19,-,20-24,-,25+
'04 90-2 UL,90,90-2,UL,D�Angelo Jimenez,Reds,210,'04,9,10,2B+4,S,,-,1-,2-3,4-,5-9,10-16,-,17-18,19-,20+
'00 362 1st,362,362,1st,Damian Jackson,Padres,210,'00,7,A,SS+3,R,,-,1-3,-,4-5,6-12,-,13-16,17-18,-,19-20
'05 199 UL,199,199,UL,Danny Graves,Reds,210,'05,4,1,Closer,R,,1-2,3-5,6-14,15-16,17-,18-19,-,20-23,-,24+
'03 96-3 UL,96,96-3,UL,Danys Baez,Indians,210,'03,2,5,Starter,R,R,1-,2-5,6-11,12-16,17-,18-20,-,21-23,-,24+
'01 205 1st,205,205,1st,Dave McCarty,Royals,210,'01,7,C,1B+1,R,,-,1-2,3-,-,4-5,6-13,-,14-15,16-,17-20
'00 185 1st,185,185,1st,Dennis Springer,Marlins,210,'00,0,7,Starter,R,,4-6,1-3,7-12,13-18,-,19-20,-,-,-,-
'02 194 UL,194,194,UL,Doug Mientkiewicz,Twins,210,'02,12,11,1B+0,L,,-,1-2,3-5,6-7,8-11,12-17,-,18-19,-,20+
'04 202 UL,202,202,UL,Doug Mientkiewicz,Twins,210,'04,12,10,1B+0,L,,-,1-,2-4,5-7,8-11,12-17,-,18-19,-,20+
'00 120-2 1st,120,120-2,1st,Doug Mirabelli,Giants,210,'00,7,B,C+8,R,,-,1-,2-,3-,4-8,9-14,15-,16-18,-,19-20
'00 415 1st,415,415,1st,Edgar Renteria,Cardinals,210,'00,7,A,SS+3,R,,-,-,1-,2-3,4-7,8-13,14-16,17-19,-,20+
'00 313 1st,313,313,1st,Eric Chavez,Athletics,210,'00,7,C,3B+3,L,,-,-,1-2,3-4,5-9,10-14,-,15-16,17-,18-20
'00 365 1st,365,365,1st,Eric Owens,Padres,210,'00,7,A,"CF+2, LF-RF+1",R,,-,-,1-3,4-,5-7,8-13,14-16,17-18,19-,20+
'00 30-2 1st,30,30-2,1st,Eric Young,Cubs,210,'00,8,A,2B+3,R,,-,-,1-2,3-4,5-10,11-16,17-18,19-20,-,-
'03 55-3 UL,55,55-3,UL,Felix Heredia,Reds,210,'03,5,2,Reliever,L,,1-,2-3,4-11,12-16,17-18,19-,-,20-25,-,26+
'02 289 UL,289,289,UL,Felix Rodriguez,Giants,210,'02,3,1,Reliever,R,,1-3,4-11,12-14,15-19,20-26,-,-,-,-,27+
'05 1-2 UL,1,1-2,UL,Garret Anderson,Angels,210,'05,11,12,CF+1,L,,,1-2,3-5,6-7,8-9,10-17,-,18-19,-,20+
'04 344 UL,344,344,UL,Greg Myers,Blue Jays,210,'04,11,8,C+4,L,,-,1-2,3-5,6-,7-10,11-17,-,18-19,-,20+
'01 28-1 1st,28,28-1,1st,Greg Swindell,Diamondbacks,210,'01,5,1,Reliever,L,,1-2,3-7,8-11,12-16,-,17-19,-,20-,-,-
'04 293 UL,293,293,UL,J. T. Snow,Giants,210,'04,12,8,1B+1,L,,-,1-,2-3,4-6,7-11,12-17,-,18-19,-,20+
'05 191 UL,191,191,UL,Jacque Jones,Twins,210,'05,9,14,LF-RF+2,L,,,1-2,3-4,5-6,7-9,10-15,16-,17-18,-,19+
'01 367 1st,367,367,1st,Jay Witasick,Padres,210,'01,2,6,Starter,R,,1-3,4-7,8-13,14-16,17-,18-19,-,20-,-,-
'02 343 UL,343,343,UL,Jeff Zimmerman,Rangers,210,'02,4,1,Closer,R,,1-5,6-11,12-14,15-18,19-,20-,-,-,-,21+
'02 239 UL,239,239,UL,Jermaine Dye,Athletics,210,'02,10,15,LF-RF+1,R,,-,1-2,3-5,6-,7-9,10-16,-,17-18,-,19+
'01 318 1st,318,318,1st,Jim Mecir,Athletics,210,'01,4,1,Reliever,R,,1-2,3-7,8-13,14-16,17-18,19-20,-,-,-,-
'03 54-2 UL,54,54-2,UL,Joe Crede,White Sox,210,'03,10,13,3B+0,R,R,-,1-2,3-4,5-7,8-9,10-16,-,17-18,-,19+
'00 422 1st,422,422,1st,John Flaherty,Devil Rays,210,'00,7,C,C+8,R,,-,-,1-2,3-5,-,6-16,-,17-,-,18-20
'03 36-1 UL,36,36-1,UL,John Smoltz,Braves,210,'03,5,1,Closer,R,RP,1-2,3-8,9-14,15-16,17-,18-19,-,20-25,-,26+
'00 245 1st,245,245,1st,Jose Valentin,Brewers,210,'00,7,B,SS+1,S,,-,1-,-,2-4,5-13,14-16,-,-,17-,18-20
'03 55-2 UL,55,55-2,UL,Juan Pierre,Marlins,210,'03,10,25,CF+1,L,,-,1-,2-5,6-,7-8,9-16,17-19,20-,-,21+
'03 132 RS,132,132,RS,Kazuhiro Sasaki '00,Mariners,210,'03,5,1,Closer,R,RY,1-3,4-10,11-14,15-16,17-18,19-,-,20-22,-,23+
'03 60-2 UL,60,60-2,UL,Kerry Wood,Cubs,210,'03,3,6,Starter,R,,1-2,3-8,9-13,14-16,17-,18-19,-,20-22,-,23+
'03 60-3 UL,60,60-3,UL,Kerry Wood,Cubs,210,'03,3,6,Starter,R,,1-2,3-8,9-13,14-16,17-,18-19,-,20-22,-,23+
'02 23-2 UL,23,23-2,UL,Kip Wells,Pirates,210,'02,2,6,Starter,R,,1-3,4-7,8-15,16-17,18-,19-,-,20-24,-,25+
'05 16 P,16,16,P,Luis Rivas,Twins,210,'05,9,15,2B+3,R,,,1-,2-4,5-6,7-8,9-14,15-,16-18,19-,20+
'03 58-2 UL,58,58-2,UL,Luis Vizcaino,Brewers,210,'03,5,1,Reliever,R,,1-3,4-8,9-12,13-17,18-,19-,-,20-22,-,23+
'04 85-1 UL,85,85-1,UL,Lyle Overbay,Brewers,210,'04,10,9,1B+1,L,,-,1-2,3-4,5-,6-10,11-16,-,17-19,-,20+
'00 69-1 1st,69,69-1,1st,Mac Suzuki,Royals,210,'00,3,6,Starter,R,,4-5,1-3,6-10,11-15,16-17,18-19,-,20-,-,-
'02 27-3 UL,27,27-3,UL,Marcus Giles,Braves,210,'02,10,16,2B+2,R,,-,-,1-4,5-6,7-11,12-17,-,18-,-,19+
'00 309 1st,309,309,1st,Mariano Rivera,Yankees,210,'00,4,1,Closer,R,,5-7,1-4,8-14,15-18,19-,20-,-,-,-,-
'02 20-1 UL,20,20-1,UL,Mark Grace,Diamondbacks,210,'02,12,12,1B+0,L,,-,-,1-4,5-7,8-11,12-17,-,18-19,-,20+
'01 81-2 1st,81,81-2,1st,Mark Grace,Cubs,210,'01,9,C,1B+0,L,,-,-,1-,2-3,4-10,11-16,-,17-19,-,20+
'03 265 UL,265,265,UL,Mark McLemore,Mariners,210,'03,11,15,LF-RF+2,S,,-,1-,2-3,4-5,6-11,12-16,17-,18-19,-,20+
'05 113-1 UL,113,113-1,UL,Mark Sweeney,Rockies,210,'05,11,12,LF-RF+2,L,,,1-2,3-4,5-6,7-12,13-16,-,17-18,-,19+
'00 283 1st,283,283,1st,Matt Franco,Mets,210,'00,8,C,"1B-3B+0, LF-RF+1",L,,-,-,1-3,4-,5-12,13-17,-,18-,-,19-20
'03 53-2 UL,53,53-2,UL,Michael Tucker,Royals,210,'03,9,15,OF+1,L,,-,1-2,3-4,5-6,7-9,10-15,16-17,18-,19-22,23+
'03 261 UL,261,261,UL,Mike Cameron,Mariners,210,'03,10,19,CF+2,R,,-,1-3,4-5,6-7,8-12,13-15,16-17,18-,-,19+
'04 296 UL,296,296,UL,Mike Cameron,Mariners,210,'04,10,15,CF+3,R,G,-,1-2,3-4,5-6,7-11,12-15,16-17,18-19,-,20+
'05 244 UL,244,244,UL,Pat Burrell,Phillies,210,'05,10,10,LF-RF+0,R,,,1-2,3-,4-5,6-11,12-17,-,18-,-,19+
'04 38-2 UL,38,38-2,UL,Pat Hentgen,Orioles,210,'04,3,6,Starter,R,,1-,2-4,5-10,11-15,16-17,18-19,-,20-23,-,24+
'01 405 1st,405,405,1st,Pat Hentgen,Cardinals,210,'01,2,6,Starter,R,,1-4,5-7,8-13,14-16,17-,18-19,-,20-,-,-
'02 82-3 UL,82,82-3,UL,Paul Konerko,White Sox,210,'02,10,11,1B+0,R,,-,1-,2-4,5-6,7-9,10-15,-,16-17,-,18+
'05 202 UL,202,202,UL,Paul Lo Duca,Marlins,210,'05,10,10,C+6,R,,,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
'03 163 UL,163,163,UL,Paul Lo Duca,Dodgers,210,'03,9,10,C+5,R,,-,-,1-4,5-6,7-8,9-16,-,17-19,-,20+
'04 184 UL,184,184,UL,Paul Quantrill,Dodgers,210,'04,5,1,Reliever,R,,1-3,4-6,7-15,16-,17-,18-19,-,20-27,-,28+
'04 86-1 UL,86,86-1,UL,Paul Quantrill,Yankees,210,'04,5,1,Reliever,R,,1-4,5-7,8-14,15-16,17-,18-22,-,23-24,-,25+
'02 53-3 UL,53,53-3,UL,Placido Polanco,Cardinals,210,'02,10,18,"2B+1, 3B+3",R,,-,-,1-5,6-,7-,8-17,18-,19-25,-,26+
'01 118-1 1st,118,118-1,1st,Pokey Reese,Reds,210,'01,7,A,2B+4,R,,-,-,1-,2-4,5-7,8-13,14-16,17-,18-,19-20
'03 27-1 UL,27,27-1,UL,Rafael Furcal,Braves,210,'03,9,17,SS+4,S,,-,1-,2-4,5-6,7-9,10-16,17-,18-19,20-,21+
'05 273 UL,273,273,UL,Ramon Hernandez,Padres,210,'05,10,9,C+6,R,,,1-,2-5,6-7,8-10,11-16,-,17-18,-,19+
'01 1-2 1st,1,1-2,1st,Randy Velarde,Rangers,210,'01,8,B,2B+4,R,,-,1-,2-3,-,4-8,9-16,17-,18-19,-,20+
'02 353 UL,353,353,UL,Raul Mondesi,Blue Jays,210,'02,10,19,LF-RF+1,R,,-,1-3,4-,5-6,7-12,13-16,17-,18-,-,19+
'01 117-2 1st,117,117-2,1st,Ray King,Brewers,210,'01,3,1,Reliever,L,,1-3,4-7,8-14,15-17,18-19,20-,-,-,-,-
'05 346 UL,346,346,UL,Reed Johnson,Blue Jays,210,'05,9,12,LF-RF+1,R,R,,1-,2-4,5-,6-7,8-16,-,17-19,-,20+
